,gender,group,parental,lunch,course,math,reading,writing
262,female,C,some high school,free/reduced,none,44.0,50,51
263,female,E,high school,standard,none,99.0,93,90
264,male,D,high school,standard,none,76.0,73,68
265,male,D,some high school,free/reduced,none,59.0,42,41
266,female,C,bachelor's degree,standard,none,63.0,75,81
267,female,D,high school,standard,none,69.0,72,77
268,female,D,associate's degree,standard,completed,88.0,92,95
269,female,E,some college,free/reduced,none,71.0,76,70
270,male,C,bachelor's degree,standard,none,69.0,63,61
271,male,C,some college,standard,none,58.0,49,42
272,female,D,associate's degree,free/reduced,none,47.0,53,58
273,female,D,some college,standard,none,65.0,70,71
274,male,B,some college,standard,completed,88.0,85,76
275,male,C,bachelor's degree,standard,none,83.0,78,73
276,female,C,some high school,standard,completed,85.0,92,93
277,female,E,high school,standard,completed,59.0,63,75
278,female,C,some high school,free/reduced,none,65.0,86,80
279,male,B,bachelor's degree,free/reduced,none,73.0,56,57
280,male,D,high school,standard,none,53.0,52,42
281,male,D,high school,standard,none,45.0,48,46
282,female,D,bachelor's degree,free/reduced,none,73.0,79,84
283,female,D,some college,free/reduced,completed,70.0,78,78
284,female,B,some high school,standard,none,37.0,46,46
285,male,B,associate's degree,standard,completed,81.0,82,82
286,male,E,associate's degree,standard,completed,97.0,82,88
287,female,B,some high school,standard,none,67.0,89,82
288,male,B,bachelor's degree,free/reduced,none,88.0,75,76
289,male,E,some high school,standard,completed,77.0,76,77
290,male,C,associate's degree,standard,none,76.0,70,68
291,male,D,some high school,standard,none,86.0,73,70
292,male,C,some high school,standard,completed,63.0,60,57
293,female,E,bachelor's degree,standard,none,65.0,73,75
294,male,D,high school,free/reduced,completed,78.0,77,80
295,male,B,associate's degree,free/reduced,none,67.0,62,60
296,male,A,some high school,standard,completed,46.0,41,43
297,male,E,associate's degree,standard,completed,71.0,74,68
298,male,C,high school,free/reduced,completed,40.0,46,50
299,male,D,associate's degree,free/reduced,none,90.0,87,75
300,male,A,some college,free/reduced,completed,81.0,78,81
301,male,D,some high school,free/reduced,none,56.0,54,52
302,female,C,associate's degree,standard,completed,67.0,84,81
303,male,B,associate's degree,standard,none,80.0,76,64
304,female,C,associate's degree,standard,completed,74.0,75,83
305,male,A,some college,standard,none,69.0,67,69
306,male,E,some college,standard,completed,99.0,87,81
307,male,C,some high school,standard,none,51.0,52,44
308,female,B,associate's degree,free/reduced,none,53.0,71,67
309,female,D,high school,free/reduced,none,49.0,57,52
310,female,B,associate's degree,standard,none,73.0,76,80
311,male,B,bachelor's degree,standard,none,66.0,60,57
312,male,D,bachelor's degree,standard,completed,67.0,61,68
313,female,C,associate's degree,free/reduced,completed,68.0,67,69
314,female,C,bachelor's degree,standard,completed,59.0,64,75
315,male,C,high school,standard,none,71.0,66,65
316,female,D,master's degree,standard,completed,77.0,82,91
317,male,C,associate's degree,standard,none,83.0,72,78
318,male,B,bachelor's degree,standard,none,63.0,71,69
319,female,D,associate's degree,free/reduced,none,56.0,65,63
320,female,C,high school,free/reduced,completed,67.0,79,84
321,female,E,high school,standard,none,75.0,86,79
322,female,C,some college,standard,none,71.0,81,80
323,female,C,some high school,free/reduced,none,43.0,53,53
324,female,C,high school,free/reduced,none,41.0,46,43
325,female,C,some college,standard,none,82.0,90,94
326,male,C,some college,standard,none,61.0,61,62
327,male,A,some college,free/reduced,none,28.0,23,19
328,male,C,associate's degree,standard,completed,82.0,75,77
329,female,B,some high school,standard,none,41.0,55,51
330,male,C,high school,standard,none,71.0,60,61
331,male,C,associate's degree,standard,none,47.0,37,35
332,male,E,associate's degree,standard,completed,62.0,56,53
333,male,B,associate's degree,standard,none,90.0,78,81
334,female,C,bachelor's degree,standard,none,83.0,93,95
335,female,B,some college,free/reduced,none,61.0,68,66
336,male,D,some high school,standard,completed,76.0,70,69
337,male,C,associate's degree,standard,none,49.0,51,43
338,female,B,some high school,free/reduced,none,24.0,38,27
339,female,D,some high school,free/reduced,completed,35.0,55,60
340,male,C,high school,free/reduced,none,58.0,61,52
341,female,C,high school,standard,none,61.0,73,63
342,female,B,high school,standard,completed,69.0,76,74
343,male,D,associate's degree,standard,completed,67.0,72,67
344,male,D,some college,standard,none,79.0,73,67
345,female,C,high school,standard,none,72.0,80,75
346,male,B,some college,standard,none,62.0,61,57
347,female,C,bachelor's degree,standard,completed,77.0,94,95
348,male,D,high school,free/reduced,none,75.0,74,66
349,male,E,associate's degree,standard,none,87.0,74,76
350,female,B,bachelor's degree,standard,none,52.0,65,69
351,male,E,some college,standard,none,66.0,57,52
352,female,C,some college,standard,completed,63.0,78,80
353,female,C,associate's degree,standard,none,46.0,58,57
354,female,C,some college,standard,none,59.0,71,70
355,female,B,bachelor's degree,standard,none,61.0,72,70
356,male,A,associate's degree,standard,none,63.0,61,61
357,female,C,some college,free/reduced,completed,42.0,66,69
358,male,D,some college,free/reduced,none,59.0,62,61
359,female,D,some college,standard,none,80.0,90,89
360,female,B,high school,standard,none,58.0,62,59
361,male,B,some high school,standard,completed,85.0,84,78
362,female,C,some college,standard,none,52.0,58,58
363,female,D,some high school,free/reduced,none,27.0,34,32
364,male,C,some college,standard,none,59.0,60,58
365,male,A,bachelor's degree,free/reduced,completed,49.0,58,60
366,male,C,high school,standard,completed,69.0,58,53
367,male,C,bachelor's degree,free/reduced,none,61.0,66,61
368,female,A,some high school,free/reduced,none,44.0,64,58
369,female,D,some high school,standard,none,73.0,84,85
370,male,E,some college,standard,none,84.0,77,71
371,female,C,some college,free/reduced,completed,45.0,73,70
372,male,D,some high school,standard,none,74.0,74,72
373,female,D,some college,standard,completed,82.0,97,96
374,female,D,bachelor's degree,standard,none,59.0,70,73
375,male,E,associate's degree,free/reduced,none,46.0,43,41
376,female,D,some high school,standard,none,80.0,90,82
377,female,D,master's degree,free/reduced,completed,85.0,95,100
378,female,A,some high school,standard,none,71.0,83,77
379,male,A,bachelor's degree,standard,none,66.0,64,62
380,female,B,associate's degree,standard,none,80.0,86,83
381,male,C,associate's degree,standard,completed,87.0,100,95
382,male,C,master's degree,free/reduced,none,79.0,81,71
383,female,E,some high school,free/reduced,none,38.0,49,45
384,female,A,some high school,free/reduced,none,38.0,43,43
385,female,E,some college,standard,none,67.0,76,75
386,female,E,bachelor's degree,standard,none,64.0,73,70
387,female,C,associate's degree,free/reduced,none,57.0,78,67
388,female,D,high school,standard,none,62.0,64,64
389,male,D,master's degree,standard,none,73.0,70,75
390,male,E,some high school,free/reduced,completed,73.0,67,59
391,female,D,some college,standard,none,77.0,68,77
392,male,E,some college,standard,none,76.0,67,67
393,male,C,associate's degree,standard,completed,57.0,54,56
394,female,C,some high school,standard,completed,65.0,74,77
395,male,A,high school,free/reduced,none,48.0,45,41
396,female,B,high school,free/reduced,none,50.0,67,63
397,female,C,associate's degree,standard,none,85.0,89,95
398,male,B,some high school,standard,none,74.0,63,57
399,male,D,some high school,standard,none,60.0,59,54
400,female,C,some high school,standard,completed,59.0,54,67
401,male,A,some college,standard,none,53.0,43,43
402,female,A,some college,free/reduced,none,49.0,65,55
403,female,D,high school,standard,completed,88.0,99,100
404,female,C,high school,standard,none,54.0,59,62
405,female,C,some high school,standard,none,63.0,73,68
406,male,B,associate's degree,standard,completed,65.0,65,63
407,female,B,associate's degree,standard,none,82.0,80,77
408,female,D,high school,free/reduced,completed,52.0,57,56
409,male,D,associate's degree,standard,completed,87.0,84,85
410,female,D,master's degree,standard,completed,70.0,71,74
411,male,E,some college,standard,completed,84.0,83,78
412,male,D,associate's degree,standard,none,71.0,66,60
413,male,B,some high school,standard,completed,63.0,67,67
414,female,C,bachelor's degree,free/reduced,completed,51.0,72,79
415,male,E,high school,standard,none,84.0,73,69
416,male,C,bachelor's degree,standard,completed,71.0,74,68
417,male,C,associate's degree,standard,none,74.0,73,67
418,male,D,some college,standard,none,68.0,59,62
419,male,E,high school,free/reduced,completed,57.0,56,54
420,female,C,associate's degree,free/reduced,completed,82.0,93,93
421,female,D,high school,standard,completed,57.0,58,64
422,female,D,master's degree,free/reduced,completed,47.0,58,67
423,female,A,some high school,standard,completed,59.0,85,80
424,male,B,some college,free/reduced,none,41.0,39,34
425,female,C,some college,free/reduced,none,62.0,67,62
426,male,C,bachelor's degree,standard,none,86.0,83,86
427,male,C,some high school,free/reduced,none,69.0,71,65
428,male,A,some high school,free/reduced,none,65.0,59,53
429,male,C,some high school,free/reduced,none,68.0,63,54
430,male,C,associate's degree,free/reduced,none,64.0,66,59
431,female,C,high school,standard,none,61.0,72,70
432,male,C,high school,standard,none,61.0,56,55
433,female,A,some high school,free/reduced,none,47.0,59,50
434,male,C,some high school,standard,none,73.0,66,66
435,male,C,some college,free/reduced,completed,50.0,48,53
436,male,D,associate's degree,standard,none,75.0,68,64
437,male,D,associate's degree,free/reduced,none,75.0,66,73
438,male,C,high school,standard,none,70.0,56,51
439,male,D,some high school,standard,completed,89.0,88,82
440,female,C,some college,standard,completed,67.0,81,79
441,female,D,high school,standard,none,78.0,81,80
442,female,A,some high school,free/reduced,none,59.0,73,69
443,female,B,associate's degree,standard,none,73.0,83,76
444,male,A,some high school,free/reduced,none,79.0,82,73
445,female,C,some high school,standard,completed,67.0,74,77
446,male,D,some college,free/reduced,none,69.0,66,60
447,male,C,high school,standard,completed,86.0,81,80
448,male,B,high school,standard,none,47.0,46,42
449,male,B,associate's degree,standard,none,81.0,73,72
450,female,C,some college,free/reduced,completed,64.0,85,85
451,female,E,some college,standard,none,100.0,92,97
452,female,C,associate's degree,free/reduced,none,65.0,77,74
453,male,C,some college,free/reduced,none,65.0,58,49
454,female,C,associate's degree,free/reduced,none,53.0,61,62
455,male,C,bachelor's degree,free/reduced,none,37.0,56,47
456,female,D,bachelor's degree,standard,none,79.0,89,89
457,male,D,associate's degree,free/reduced,none,53.0,54,48
458,female,E,bachelor's degree,standard,none,100.0,100,100
459,male,B,high school,standard,completed,72.0,65,68
460,male,C,bachelor's degree,free/reduced,none,53.0,58,55
461,male,B,some college,free/reduced,none,54.0,54,45
462,female,E,some college,standard,none,71.0,70,76
463,female,C,some college,free/reduced,none,77.0,90,91
464,male,A,bachelor's degree,standard,completed,75.0,58,62
465,female,C,some college,standard,none,84.0,87,91
466,female,D,associate's degree,free/reduced,none,26.0,31,38
467,male,A,high school,free/reduced,completed,72.0,67,65
468,female,A,high school,free/reduced,completed,77.0,88,85
469,male,C,some college,standard,none,91.0,74,76
470,female,C,associate's degree,standard,completed,83.0,85,90
471,female,C,high school,standard,none,63.0,69,74
472,female,C,associate's degree,standard,completed,68.0,86,84
473,female,D,some high school,standard,none,59.0,67,61
474,female,B,associate's degree,standard,completed,90.0,90,91
475,female,D,bachelor's degree,standard,completed,71.0,76,83
476,male,E,bachelor's degree,standard,completed,76.0,62,66
477,male,D,associate's degree,standard,none,80.0,68,72
478,female,D,master's degree,standard,none,55.0,64,70
479,male,E,associate's degree,standard,none,76.0,71,67
480,male,B,high school,standard,completed,73.0,71,68
481,female,D,associate's degree,free/reduced,none,52.0,59,56
482,male,C,some college,free/reduced,none,68.0,68,61
483,male,A,high school,standard,none,59.0,52,46
484,female,B,associate's degree,standard,none,49.0,52,54
485,male,C,high school,standard,none,70.0,74,71
486,male,D,some college,free/reduced,none,61.0,47,56
487,female,C,associate's degree,free/reduced,none,60.0,75,74
488,male,B,some high school,standard,completed,64.0,53,57
489,male,A,associate's degree,free/reduced,completed,79.0,82,82
490,female,A,associate's degree,free/reduced,none,65.0,85,76
491,female,C,associate's degree,standard,none,64.0,64,70
492,female,C,some college,standard,none,83.0,83,90
493,female,C,bachelor's degree,standard,none,81.0,88,90
494,female,B,high school,standard,none,54.0,64,68
495,male,D,high school,standard,completed,68.0,64,66
496,female,C,some college,standard,none,54.0,48,52
497,female,D,some college,free/reduced,completed,59.0,78,76
498,female,B,some high school,standard,none,66.0,69,68
499,male,E,some college,standard,none,76.0,71,72
500,female,D,master's degree,standard,none,74.0,79,82
501,female,B,associate's degree,standard,completed,94.0,87,92
502,male,C,some college,free/reduced,none,63.0,61,54
503,female,E,associate's degree,standard,completed,95.0,89,92
504,female,D,master's degree,free/reduced,none,40.0,59,54
505,female,B,some high school,standard,none,82.0,82,80
506,male,A,high school,standard,none,68.0,70,66
507,male,B,bachelor's degree,free/reduced,none,55.0,59,54
508,male,C,master's degree,standard,none,79.0,78,77
509,female,C,bachelor's degree,standard,none,86.0,92,87
510,male,D,some college,standard,none,76.0,71,73
511,male,A,some high school,standard,none,64.0,50,43
512,male,D,some high school,free/reduced,none,62.0,49,52
513,female,B,some high school,standard,completed,54.0,61,62
514,female,B,master's degree,free/reduced,completed,77.0,97,94
515,female,C,some high school,standard,completed,76.0,87,85
516,female,D,some college,standard,none,74.0,89,84
517,female,E,some college,standard,completed,66.0,74,73
518,female,D,some high school,standard,completed,66.0,78,78
519,female,B,high school,free/reduced,completed,67.0,78,79
520,male,D,some college,standard,none,71.0,49,52
521,female,C,associate's degree,standard,none,91.0,86,84
522,male,D,bachelor's degree,standard,none,69.0,58,57
523,male,C,master's degree,free/reduced,none,54.0,59,50
524,male,C,high school,standard,completed,53.0,52,49
525,male,E,some college,standard,none,68.0,60,59
526,male,C,some high school,free/reduced,completed,56.0,61,60
527,female,C,high school,free/reduced,none,36.0,53,43
528,female,D,bachelor's degree,free/reduced,none,29.0,41,47
529,female,C,associate's degree,standard,none,62.0,74,70
530,female,C,associate's degree,standard,completed,68.0,67,73
531,female,C,some high school,standard,none,47.0,54,53
532,male,E,associate's degree,standard,completed,62.0,61,58
533,female,E,associate's degree,standard,completed,79.0,88,94
534,male,B,high school,standard,completed,73.0,69,68
535,female,C,bachelor's degree,free/reduced,completed,66.0,83,83
536,male,C,associate's degree,standard,completed,51.0,60,58
537,female,D,high school,standard,none,51.0,66,62
538,male,E,bachelor's degree,standard,completed,85.0,66,71
539,male,A,associate's degree,standard,completed,97.0,92,86
540,male,C,high school,standard,completed,75.0,69,68
541,male,D,associate's degree,free/reduced,completed,79.0,82,80
542,female,C,associate's degree,standard,none,81.0,77,79
543,female,D,associate's degree,standard,none,82.0,95,89
544,female,D,master's degree,standard,none,64.0,63,66
545,male,E,some high school,free/reduced,completed,78.0,83,80
546,female,A,some high school,standard,completed,92.0,100,97
547,male,C,high school,standard,completed,72.0,67,64
548,female,C,high school,free/reduced,none,62.0,67,64
549,male,C,master's degree,standard,none,79.0,72,69
550,male,C,some high school,free/reduced,none,79.0,76,65
551,male,B,bachelor's degree,free/reduced,completed,87.0,90,88
552,female,B,associate's degree,standard,none,40.0,48,50
553,male,D,some college,free/reduced,none,77.0,62,64
554,male,E,associate's degree,standard,none,53.0,45,40
555,female,C,some college,free/reduced,none,32.0,39,33
556,female,C,associate's degree,standard,completed,55.0,72,79
557,male,C,master's degree,free/reduced,none,61.0,67,66
